,game,model,experiment,episode,metric,value
28,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Precision,100.0
29,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Recall,31.0
30,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,F1,48.0
31,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Main Score,48.0
32,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Average Changed Cell Count,2.6
33,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Average Generated Instruction Length,34.4
34,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Average Generated Expression Number of Tokens,8.2
35,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Success,0.0
36,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Lose,1.0
37,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Aborted,0.0
38,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Request Count,10.0
39,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Violated Request Count,0.0
40,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Parsed Request Count,10.0
41,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_10,Request Success Ratio,1.0
42,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Precision,0.0
43,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Recall,0.0
44,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,F1,0.0
45,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Main Score,0.0
46,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Average Changed Cell Count,1.0
47,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Average Generated Instruction Length,43.2
48,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Average Generated Expression Number of Tokens,9.0
49,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Success,0.0
50,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Lose,1.0
51,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Aborted,0.0
52,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Request Count,10.0
53,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Violated Request Count,0.0
54,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Parsed Request Count,10.0
55,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_11,Request Success Ratio,1.0
56,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Precision,
57,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Recall,
58,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,F1,
59,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Main Score,
60,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Average Changed Cell Count,
61,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Average Generated Instruction Length,
62,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Average Generated Expression Number of Tokens,
63,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Success,0.0
64,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Lose,0.0
65,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Aborted,1.0
66,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Request Count,1.0
67,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Violated Request Count,1.0
68,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Parsed Request Count,0.0
69,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_12,Request Success Ratio,0.0
70,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Precision,
71,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Recall,
72,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,F1,
73,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Main Score,
74,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Average Changed Cell Count,
75,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Average Generated Instruction Length,
76,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Average Generated Expression Number of Tokens,
77,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Success,0.0
78,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Lose,0.0
79,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Aborted,1.0
80,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Request Count,1.0
81,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Violated Request Count,1.0
82,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Parsed Request Count,0.0
83,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_13,Request Success Ratio,0.0
84,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Precision,
85,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Recall,
86,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,F1,
87,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Main Score,
88,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Average Changed Cell Count,
89,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Average Generated Instruction Length,
90,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Average Generated Expression Number of Tokens,
91,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Success,0.0
92,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Lose,0.0
93,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Aborted,1.0
94,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Request Count,4.0
95,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Violated Request Count,1.0
96,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Parsed Request Count,3.0
97,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_14,Request Success Ratio,0.75
98,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Precision,
99,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Recall,
100,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,F1,
101,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Main Score,
102,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Average Changed Cell Count,
103,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Average Generated Instruction Length,
104,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Average Generated Expression Number of Tokens,
105,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Success,0.0
106,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Lose,0.0
107,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Aborted,1.0
108,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Request Count,14.0
109,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Violated Request Count,1.0
110,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Parsed Request Count,13.0
111,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_15,Request Success Ratio,0.9286
112,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Precision,0.0
113,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Recall,0.0
114,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,F1,0.0
115,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Main Score,0.0
116,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Average Changed Cell Count,1.5
117,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Average Generated Instruction Length,46.75
118,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Average Generated Expression Number of Tokens,10.75
119,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Success,0.0
120,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Lose,1.0
121,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Aborted,0.0
122,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Request Count,8.0
123,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Violated Request Count,0.0
124,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Parsed Request Count,8.0
125,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_16,Request Success Ratio,1.0
126,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Precision,
127,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Recall,
128,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,F1,
129,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Main Score,
130,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Average Changed Cell Count,
131,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Average Generated Instruction Length,
132,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Average Generated Expression Number of Tokens,
133,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Success,0.0
134,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Lose,0.0
135,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Aborted,1.0
136,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Request Count,2.0
137,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Violated Request Count,1.0
138,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Parsed Request Count,1.0
139,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_17,Request Success Ratio,0.5
140,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Precision,
141,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Recall,
142,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,F1,
143,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Main Score,
144,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Average Changed Cell Count,
145,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Average Generated Instruction Length,
146,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Average Generated Expression Number of Tokens,
147,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Success,0.0
148,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Lose,0.0
149,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Aborted,1.0
150,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Request Count,6.0
151,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Violated Request Count,1.0
152,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Parsed Request Count,5.0
153,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_18,Request Success Ratio,0.8333
154,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Precision,
155,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Recall,
156,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,F1,
157,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Main Score,
158,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Average Changed Cell Count,
159,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Average Generated Instruction Length,
160,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Average Generated Expression Number of Tokens,
161,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Success,0.0
162,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Lose,0.0
163,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Aborted,1.0
164,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Request Count,8.0
165,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Violated Request Count,1.0
166,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Parsed Request Count,7.0
167,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_19,Request Success Ratio,0.875
168,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Precision,
169,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Recall,
170,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,F1,
171,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Main Score,
172,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Average Changed Cell Count,
173,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Average Generated Instruction Length,
174,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Average Generated Expression Number of Tokens,
175,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Success,0.0
176,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Lose,0.0
177,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Aborted,1.0
178,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Request Count,1.0
179,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Violated Request Count,1.0
180,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Parsed Request Count,0.0
181,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_2,Request Success Ratio,0.0
182,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Precision,0.0
183,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Recall,0.0
184,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,F1,0.0
185,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Main Score,0.0
186,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Average Changed Cell Count,1.2
187,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Average Generated Instruction Length,42.6
188,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Average Generated Expression Number of Tokens,9.0
189,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Success,0.0
190,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Lose,1.0
191,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Aborted,0.0
192,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Request Count,10.0
193,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Violated Request Count,0.0
194,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Parsed Request Count,10.0
195,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_3,Request Success Ratio,1.0
196,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Precision,
197,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Recall,
198,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,F1,
199,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Main Score,
200,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Average Changed Cell Count,
201,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Average Generated Instruction Length,
202,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Average Generated Expression Number of Tokens,
203,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Success,0.0
204,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Lose,0.0
205,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Aborted,1.0
206,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Request Count,8.0
207,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Violated Request Count,1.0
208,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Parsed Request Count,7.0
209,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_4,Request Success Ratio,0.875
210,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Precision,
211,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Recall,
212,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,F1,
213,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Main Score,
214,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Average Changed Cell Count,
215,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Average Generated Instruction Length,
216,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Average Generated Expression Number of Tokens,
217,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Success,0.0
218,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Lose,0.0
219,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Aborted,1.0
220,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Request Count,2.0
221,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Violated Request Count,1.0
222,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Parsed Request Count,1.0
223,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_5,Request Success Ratio,0.5
224,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Precision,
225,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Recall,
226,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,F1,
227,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Main Score,
228,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Average Changed Cell Count,
229,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Average Generated Instruction Length,
230,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Average Generated Expression Number of Tokens,
231,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Success,0.0
232,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Lose,0.0
233,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Aborted,1.0
234,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Request Count,2.0
235,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Violated Request Count,1.0
236,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Parsed Request Count,1.0
237,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_6,Request Success Ratio,0.5
238,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Precision,0.0
239,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Recall,0.0
240,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,F1,0.0
241,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Main Score,0.0
242,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Average Changed Cell Count,1.0
243,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Average Generated Instruction Length,37.75
244,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Average Generated Expression Number of Tokens,8.75
245,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Success,0.0
246,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Lose,1.0
247,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Aborted,0.0
248,imagegame,openchat_3.5-t0.5--openchat_3.5-t0.5,0_compact_grids,episode_7,Request Count,8.0
